,u,v,sim
0,n_sdg10_gini,n_sdg10_palma,0.5862068965517241
1,n_sdg10_gini,n_sdg16_rsf,0.38235294117647056
2,n_sdg11_pipedwat,n_sdg8_accounts,0.6727272727272727
3,n_sdg11_pm25,n_sdg3_pollmort,0.7692307692307693
4,n_sdg11_slums,n_sdg9_articles,0.8305084745762712
5,n_sdg11_slums,n_sdg3_swb,0.7796610169491526
6,n_sdg11_slums,n_sdg17_statperf,0.7619047619047619
7,n_sdg11_slums,n_sdg5_edat,0.6271186440677966
8,n_sdg11_transport,n_sdg3_traffic,0.782608695652174
9,n_sdg11_transport,n_sdg16_clabor,0.7272727272727273
10,n_sdg12_ewaste,n_sdg13_co2gcp,0.7936507936507936
11,n_sdg12_ewaste,n_sdg13_ghgimport,0.7758620689655172
12,n_sdg12_explastic,n_sdg8_impacc,0.7731958762886598
13,n_sdg12_msw,n_sdg8_impacc,0.845360824742268
14,n_sdg12_msw,n_sdg15_impdefor,0.8
15,n_sdg12_nimport,n_sdg12_pollimp,0.9285714285714286
16,n_sdg12_nimport,n_sdg6_scarcew,0.8767123287671232
17,n_sdg12_nimport,n_sdg13_ghgimport,0.7714285714285715
18,n_sdg12_nimport,n_sdg8_impslav,0.8648648648648649
19,n_sdg12_nprod,n_sdg2_trophic,0.7307692307692307
20,n_sdg12_nprod,n_sdg13_ghgimport,0.7222222222222222
21,n_sdg12_pollimp,n_sdg8_impslav,0.8783783783783784
22,n_sdg12_pollimp,n_sdg12_pollprod,0.7391304347826086
23,n_sdg12_pollimp,n_sdg6_scarcew,0.821917808219178
24,n_sdg13_co2export,n_sdg5_lfpr,0.7029702970297029
25,n_sdg14_biomar,n_sdg15_impdefor,0.7777777777777778
26,n_sdg14_biomar,n_sdg17_cohaven,0.7611940298507462
27,n_sdg14_cpma,n_sdg15_cpta,0.5714285714285714
28,n_sdg14_cpma,n_sdg16_justice,0.2962962962962963
29,n_sdg15_forchg,n_sdg3_fertility,0.7638888888888888
30,n_sdg15_forchg,n_sdg15_redlist,0.5714285714285714
31,n_sdg15_impdefor,n_sdg8_impacc,0.89
32,n_sdg15_impdefor,n_sdg16_weaponsexp,0.8118811881188119
33,n_sdg16_admin,n_sdg16_cpi,0.5357142857142857
34,n_sdg16_clabor,n_sdg3_uhc,0.75
35,n_sdg16_clabor,n_sdg16_rsf,0.65
36,n_sdg16_cpi,n_sdg16_exprop,0.7931034482758621
37,n_sdg16_cpi,n_sdg3_pollmort,0.7857142857142857
38,n_sdg16_cpi,n_sdg9_patents,0.7857142857142857
39,n_sdg16_detain,n_sdg16_u5reg,0.6493506493506493
40,n_sdg16_exprop,n_sdg8_rights,0.7586206896551724
41,n_sdg16_exprop,n_sdg16_justice,0.6551724137931034
42,n_sdg16_homicides,n_sdg9_articles,0.7678571428571429
43,n_sdg16_security,n_sdg2_stunting,0.7543859649122807
44,n_sdg16_u5reg,n_sdg9_intuse,0.8701298701298701
45,n_sdg16_u5reg,n_sdg3_fertility,0.8311688311688312
46,n_sdg16_u5reg,n_sdg1_wpc,0.8181818181818182
47,n_sdg16_u5reg,n_sdg3_matmort,0.8
48,n_sdg16_u5reg,n_sdg4_primary,0.7272727272727273
49,n_sdg16_weaponsexp,n_sdg8_impacc,0.8514851485148515
50,n_sdg16_weaponsexp,n_sdg6_freshwat,0.6831683168316832
51,n_sdg17_cohaven,n_sdg17_sprofits,0.950354609929078
52,n_sdg17_govex,n_sdg3_uhc,0.75
53,n_sdg17_govex,n_sdg8_slavery,0.6086956521739131
54,n_sdg1_lmicpov,n_sdg9_articles,0.8135593220338984
55,n_sdg1_lmicpov,n_sdg1_wpc,0.7866666666666666
56,n_sdg1_lmicpov,n_sdg4_preprim,0.7627118644067796
57,n_sdg1_wpc,n_sdg3_vac,0.7066666666666667
58,n_sdg1_wpc,n_sdg9_intuse,0.8181818181818182
59,n_sdg2_crlyld,n_sdg2_undernsh,0.8478260869565217
60,n_sdg2_crlyld,n_sdg8_unemp,0.5274725274725275
61,n_sdg2_crlyld,n_sdg3_matmort,0.8105263157894737
62,n_sdg2_crlyld,n_sdg3_neonat,0.8172043010752689
63,n_sdg2_crlyld,n_sdg3_u5mort,0.8144329896907216
64,n_sdg2_crlyld,n_sdg7_elecac,0.8315789473684211
65,n_sdg2_crlyld,n_sdg9_roads,0.8021978021978022
66,n_sdg2_mdd,n_sdg3_traffic,0.7916666666666666
67,n_sdg2_mdd,n_sdg8_accounts,0.7636363636363637
68,n_sdg2_pestexp,n_sdg6_scarcew,0.6438356164383562
69,n_sdg2_stunting,n_sdg9_articles,0.8596491228070176
70,n_sdg2_stunting,n_sdg8_accounts,0.8070175438596491
71,n_sdg2_undernsh,n_sdg9_mobuse,0.8913043478260869
72,n_sdg2_undernsh,n_sdg3_neonat,0.8817204301075269
73,n_sdg2_undernsh,n_sdg3_matmort,0.8736842105263158
74,n_sdg2_undernsh,n_sdg3_u5mort,0.865979381443299
75,n_sdg2_undernsh,n_sdg4_literacy,0.8269230769230769
76,n_sdg2_undernsh,n_sdg7_elecac,0.8736842105263158
77,n_sdg2_undernsh,n_sdg9_roads,0.8043478260869565
78,n_sdg2_wasting,n_sdg4_literacy,0.8285714285714286
79,n_sdg2_wasting,n_sdg5_lfpr,0.7238095238095238
80,n_sdg2_wasting,n_sdg3_matmort,0.8
81,n_sdg2_wasting,n_sdg3_u5mort,0.819047619047619
82,n_sdg3_births,n_sdg3_fertility,0.7638888888888888
83,n_sdg3_fertility,n_sdg6_sanita,0.8055555555555556
84,n_sdg3_fertility,n_sdg9_intuse,0.8051948051948052
85,n_sdg3_hiv,n_sdg7_elecac,0.7473684210526316
86,n_sdg3_lifee,n_sdg9_patents,0.7647058823529411
87,n_sdg3_lifee,n_sdg3_tb,0.75
88,n_sdg3_lifee,n_sdg3_uhc,0.75
89,n_sdg3_matmort,n_sdg3_u5mort,0.9484536082474226
90,n_sdg3_matmort,n_sdg7_cleanfuel,0.8210526315789474
91,n_sdg3_matmort,n_sdg3_neonat,0.9368421052631579
92,n_sdg3_matmort,n_sdg4_literacy,0.8653846153846154
93,n_sdg3_matmort,n_sdg7_elecac,0.9263157894736842
94,n_sdg3_matmort,n_sdg9_mobuse,0.8421052631578947
95,n_sdg3_ncds,n_sdg3_swb,0.7413793103448276
96,n_sdg3_neonat,n_sdg3_u5mort,0.9381443298969072
97,n_sdg3_neonat,n_sdg9_roads,0.8279569892473119
98,n_sdg3_neonat,n_sdg4_literacy,0.8557692307692307
99,n_sdg3_neonat,n_sdg7_elecac,0.8842105263157894
100,n_sdg3_neonat,n_sdg9_mobuse,0.8602150537634409
101,n_sdg3_u5mort,n_sdg7_elecac,0.9278350515463918
102,n_sdg3_u5mort,n_sdg4_literacy,0.8846153846153846
103,n_sdg3_u5mort,n_sdg7_cleanfuel,0.8144329896907216
104,n_sdg3_u5mort,n_sdg9_mobuse,0.845360824742268
105,n_sdg3_uhc,n_sdg7_co2twh,0.5116279069767442
106,n_sdg4_literacy,n_sdg7_elecac,0.8653846153846154
107,n_sdg4_literacy,n_sdg9_mobuse,0.8173076923076923
108,n_sdg4_second,n_sdg9_intuse,0.7662337662337663
109,n_sdg5_familypl,n_sdg8_slavery,0.5869565217391305
110,n_sdg5_lfpr,n_sdg6_freshwat,0.7425742574257426
111,n_sdg6_sanita,n_sdg9_uni,0.75
112,n_sdg6_scarcew,n_sdg8_impslav,0.8108108108108109
113,n_sdg6_wastewat,n_sdg9_articles,0.8166666666666667
114,n_sdg6_wastewat,n_sdg6_water,0.7868852459016393
115,n_sdg7_cleanfuel,n_sdg7_elecac,0.8210526315789474
116,n_sdg7_cleanfuel,n_sdg9_mobuse,0.8043478260869565
117,n_sdg7_elecac,n_sdg9_mobuse,0.8315789473684211
118,n_sdg7_elecac,n_sdg9_roads,0.8105263157894737
119,n_sdg8_accounts,n_sdg9_articles,0.8035714285714286
120,n_sdg8_impacc,n_sdg8_impslav,0.7628865979381443
121,n_sdg9_articles,n_sdg9_lpi,0.7678571428571429
122,n_sdg9_patents,n_sdg9_rdex,0.75
