,u,v,sim
0,n_sdg10_gini,n_sdg10_palma,0.7391304347826086
1,n_sdg10_gini,n_sdg15_forchg,0.48484848484848486
2,n_sdg11_pipedwat,n_sdg1_wpc,0.7086614173228346
3,n_sdg11_pipedwat,n_sdg6_water,0.7079646017699115
4,n_sdg11_pm25,n_sdg3_pollmort,0.8333333333333334
5,n_sdg11_pm25,n_sdg16_rsf,0.7142857142857143
6,n_sdg11_pm25,n_sdg16_cpi,0.8
7,n_sdg11_pm25,n_sdg9_rdex,0.7391304347826086
8,n_sdg11_slums,n_sdg9_articles,0.8521739130434782
9,n_sdg11_slums,n_sdg9_intuse,0.8382352941176471
10,n_sdg11_slums,n_sdg3_swb,0.7863247863247863
11,n_sdg11_slums,n_sdg16_homicides,0.7567567567567568
12,n_sdg11_slums,n_sdg6_sanita,0.8346456692913385
13,n_sdg11_slums,n_sdg6_wastewat,0.7899159663865546
14,n_sdg11_transport,n_sdg3_traffic,0.8
15,n_sdg11_transport,n_sdg16_clabor,0.7619047619047619
16,n_sdg11_transport,n_sdg2_mdd,0.782608695652174
17,n_sdg11_transport,n_sdg8_accounts,0.7878787878787878
18,n_sdg12_ewaste,n_sdg13_co2gcp,0.8264462809917356
19,n_sdg12_ewaste,n_sdg13_ghgimport,0.8035714285714286
20,n_sdg12_ewaste,n_sdg2_obesity,0.5348837209302325
21,n_sdg12_ewaste,n_sdg12_pollimp,0.7716535433070866
22,n_sdg12_explastic,n_sdg8_impacc,0.8333333333333334
23,n_sdg12_explastic,n_sdg15_impdefor,0.7759562841530054
24,n_sdg12_explastic,n_sdg16_weaponsexp,0.7934782608695652
25,n_sdg12_msw,n_sdg8_impacc,0.8723404255319149
26,n_sdg12_msw,n_sdg15_impdefor,0.837696335078534
27,n_sdg12_msw,n_sdg16_weaponsexp,0.8333333333333334
28,n_sdg12_nimport,n_sdg12_pollimp,0.935251798561151
29,n_sdg12_nimport,n_sdg6_scarcew,0.8951048951048951
30,n_sdg12_nimport,n_sdg13_ghgimport,0.8709677419354839
31,n_sdg12_nimport,n_sdg8_impslav,0.8888888888888888
32,n_sdg12_nprod,n_sdg2_trophic,0.7524752475247525
33,n_sdg12_nprod,n_sdg13_co2gcp,0.7130434782608696
34,n_sdg12_nprod,n_sdg13_ghgimport,0.7358490566037735
35,n_sdg12_pollimp,n_sdg8_impslav,0.9090909090909091
36,n_sdg12_pollimp,n_sdg12_pollprod,0.7555555555555555
37,n_sdg12_pollimp,n_sdg13_co2gcp,0.7878787878787878
38,n_sdg12_pollimp,n_sdg13_ghgimport,0.8455284552845529
39,n_sdg12_pollimp,n_sdg6_scarcew,0.8450704225352113
40,n_sdg12_pollprod,n_sdg13_co2gcp,0.7441860465116279
41,n_sdg12_pollprod,n_sdg8_impacc,0.7484662576687117
42,n_sdg13_co2export,n_sdg17_sprofits,0.7551867219917012
43,n_sdg13_co2export,n_sdg17_cohaven,0.7264957264957265
44,n_sdg13_co2export,n_sdg5_lfpr,0.7064676616915423
45,n_sdg13_co2gcp,n_sdg13_ghgimport,0.8034188034188035
46,n_sdg13_co2gcp,n_sdg2_trophic,0.7321428571428571
47,n_sdg13_ghgimport,n_sdg2_trophic,0.7378640776699029
48,n_sdg13_ghgimport,n_sdg8_impslav,0.8125
49,n_sdg14_biomar,n_sdg17_sprofits,0.8514056224899599
50,n_sdg14_biomar,n_sdg15_impdefor,0.8076923076923077
51,n_sdg14_biomar,n_sdg17_cohaven,0.8429752066115702
52,n_sdg14_cpma,n_sdg15_cpta,0.5714285714285714
