,id,indicator,m_cp,Название на русском
0,AFG,n_sdg1_wpc,0,Афганистан
1,ARE,n_sdg1_wpc,1,ОАЭ
2,AZE,n_sdg1_wpc,1,Азербайджан
3,BGD,n_sdg1_wpc,0,Бангладеш
4,BLR,n_sdg1_wpc,1,Беларусь
5,BTN,n_sdg1_wpc,1,Бутан
6,CHN,n_sdg1_wpc,1,КНР
7,DJI,n_sdg1_wpc,0,Джибути
8,EGY,n_sdg1_wpc,1,Египет
9,ERI,n_sdg1_wpc,0,Эритрея
10,ETH,n_sdg1_wpc,0,Эфиопия
11,HND,n_sdg1_wpc,0,Гондурас
12,IND,n_sdg1_wpc,1,Индия
13,IRN,n_sdg1_wpc,1,Иран
14,IRQ,n_sdg1_wpc,1,Ирак
15,JOR,n_sdg1_wpc,1,Иордания
16,KAZ,n_sdg1_wpc,1,Казахстан
17,KGZ,n_sdg1_wpc,1,Кыргызстан 
18,KHM,n_sdg1_wpc,0,Камбоджа
19,LAO,n_sdg1_wpc,0,Лаос
20,LKA,n_sdg1_wpc,0,Шри-Ланка
21,MMR,n_sdg1_wpc,0,Мьянма
22,NIC,n_sdg1_wpc,0,Никарагуа
23,PAK,n_sdg1_wpc,0,Пакистан
24,PRK,n_sdg1_wpc,0,Корея (КНДР)
25,RUS,n_sdg1_wpc,1,Россия
26,RWA,n_sdg1_wpc,0,Руанда
27,SAU,n_sdg1_wpc,0,Саудовская Аравия
28,SDN,n_sdg1_wpc,0,Судан
29,SYR,n_sdg1_wpc,0,Сирия
30,TJK,n_sdg1_wpc,0,Таджикистан
31,TKM,n_sdg1_wpc,0,Туркменистан
32,UGA,n_sdg1_wpc,0,Уганда
33,UZB,n_sdg1_wpc,1,Узбекистан
34,VEN,n_sdg1_wpc,0,Венесуэла
35,VNM,n_sdg1_wpc,1,Вьетнам
36,YEM,n_sdg1_wpc,0,Йеменская Арабская Республика
37,GTM,n_sdg1_wpc,0,Гватемала
38,LBY,n_sdg1_wpc,0,Ливия
39,SOM,n_sdg1_wpc,0,Сомали
40,SLV,n_sdg1_wpc,0,Эль-Сальвадор
41,OMN,n_sdg1_wpc,0,Оман
42,COD,n_sdg1_wpc,0,Демократическая Республика Конго
43,LBN,n_sdg1_wpc,0,Ливан
44,CMR,n_sdg1_wpc,0,Камерун
45,PER,n_sdg1_wpc,0,Перу
46,TUN,n_sdg1_wpc,1,Тунис
47,KWT,n_sdg1_wpc,0,Кувейт
48,IDN,n_sdg1_wpc,0,Индонезия
49,DZA,n_sdg1_wpc,1,Алжир
50,BDI,n_sdg1_wpc,0,Бурунди
51,MEX,n_sdg1_wpc,1,Мексика
52,SGP,n_sdg1_wpc,0,Сингапур
53,NGA,n_sdg1_wpc,0,Нигерия
54,TGO,n_sdg1_wpc,0,Того
55,MAR,n_sdg1_wpc,1,Марокко
56,MLI,n_sdg1_wpc,0,Мали
57,GNQ,n_sdg1_wpc,0,Экватор. Гвинея
58,KEN,n_sdg1_wpc,0,Кения
59,PHL,n_sdg1_wpc,0,Филиппины
60,COL,n_sdg1_wpc,0,Колумбия
61,GEO,n_sdg1_wpc,0,Грузия
62,MDG,n_sdg1_wpc,0,Мадагаскар
63,ISR,n_sdg1_wpc,1,Израиль
64,SSD,n_sdg1_wpc,0,Южный Судан
65,TCD,n_sdg1_wpc,0,Чад
66,LSO,n_sdg1_wpc,0,Лесото
67,ZWE,n_sdg1_wpc,0,Зимбабве
68,BFA,n_sdg1_wpc,0,Буркина-Фасо
69,GIN,n_sdg1_wpc,0,Гвинея
70,MNG,n_sdg1_wpc,1,Монголия
71,MOZ,n_sdg1_wpc,0,Мозамбик
72,AGO,n_sdg1_wpc,0,Ангола
73,SWZ,n_sdg1_wpc,0,Свазиленд
74,BRN,n_sdg1_wpc,0,Бруней
75,SRB,n_sdg1_wpc,1,Сербия
76,TZA,n_sdg1_wpc,0,Танзания
77,ECU,n_sdg1_wpc,0,Эквадор
78,BOL,n_sdg1_wpc,1,Боливия
79,BEN,n_sdg1_wpc,0,Бенин
80,NPL,n_sdg1_wpc,1,Непал
81,GRC,n_sdg1_wpc,1,Греция
82,MYS,n_sdg1_wpc,1,Малайзия
83,ARG,n_sdg1_wpc,1,Аргентина
84,BIH,n_sdg1_wpc,1,Босния и Герцеговина
85,THA,n_sdg1_wpc,1,Таиланд
86,PRY,n_sdg1_wpc,1,Парагвай
87,NER,n_sdg1_wpc,0,Нигер
88,ZMB,n_sdg1_wpc,0,Замбия
89,BWA,n_sdg1_wpc,0,Ботсвана
90,ALB,n_sdg1_wpc,1,Албания
91,QAT,n_sdg1_wpc,1,Катар
92,CYP,n_sdg1_wpc,1,Кипр
93,MWI,n_sdg1_wpc,0,Малави
94,SEN,n_sdg1_wpc,0,Сенегал
95,CAF,n_sdg1_wpc,0,Центр.Афр.Респуб.
96,COG,n_sdg1_wpc,0,Республика Конго
97,BGR,n_sdg1_wpc,1,Болгария
98,CHL,n_sdg1_wpc,1,Чили
99,HUN,n_sdg1_wpc,1,Венгрия
100,MLT,n_sdg1_wpc,1,Мальта
101,JPN,n_sdg1_wpc,1,Япония
102,CIV,n_sdg1_wpc,0,Кот Д'Ивуар
103,BRA,n_sdg1_wpc,0,Бразилия
104,UKR,n_sdg1_wpc,0,Украина
105,KOR,n_sdg1_wpc,1,Корея, Республика
106,HRV,n_sdg1_wpc,1,Хорватия
107,URY,n_sdg1_wpc,1,Уругвай
108,GMB,n_sdg1_wpc,0,Гамбия
